City,Latitude,Longitude,Timezone,Timezone Offset,Date,Time,Temperature (°C),Humidity (%),Precipitation (mm),Snow (mm),Pressure (hPa)
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,00:00:00,1.700000,73.710000,0.000000,0.000000,1013.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,01:00:00,1.700000,75.870000,0.000000,0.000000,1013.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,02:00:00,1.700000,78.630000,0.000000,0.000000,1011.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,03:00:00,2.000000,82.200000,0.000000,0.000000,1011.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,04:00:00,-0.600000,99.660000,0.000000,0.000000,1010.800000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,05:00:00,3.200000,84.710000,0.000000,0.000000,1010.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,06:00:00,1.100000,92.460000,0.000000,0.000000,1010.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,07:00:00,0.800000,93.480000,0.000000,0.000000,1010.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,08:00:00,-1.200000,97.600000,0.000000,0.000000,1010.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,09:00:00,-0.600000,99.660000,0.000000,0.000000,1010.800000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,10:00:00,3.200000,84.710000,0.000000,0.000000,1010.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,11:00:00,5.500000,72.750000,0.000000,0.000000,1010.800000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,12:00:00,6.900000,67.070000,0.000000,0.000000,1010.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,13:00:00,7.200000,64.250000,0.000000,0.000000,1010.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,14:00:00,8.300000,59.760000,0.000000,0.000000,1009.800000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,15:00:00,7.500000,63.440000,0.000000,0.000000,1009.800000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,16:00:00,7.400000,66.170000,0.000000,0.000000,1010.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,17:00:00,6.800000,70.430000,0.000000,0.000000,1010.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,18:00:00,5.900000,73.440000,0.000000,0.000000,1010.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,19:00:00,4.000000,80.220000,0.000000,0.000000,1010.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,20:00:00,2.800000,89.210000,0.000000,0.000000,1010.000000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,21:00:00,2.300000,92.430000,0.000000,0.000000,1011.000000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,22:00:00,1.200000,95.770000,0.000000,0.000000,1010.000000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-12-07,23:00:00,1.200000,91.700000,0.000000,0.000000,1010.000000
